Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
GaussianNB,0.7391304347826086,0.7666666666666666,0.9211220720172126,0.7452098626011668,0.8335403726708076,0.7391304347826086,0.013360261917114258
NuSVC,0.6956521739130435,0.7433333333333334,,0.7158667419536985,0.8043478260869565,0.6956521739130435,0.019127845764160156
SVC,0.6956521739130435,0.7433333333333334,,0.7158667419536985,0.8043478260869565,0.6956521739130435,0.014454364776611328
BernoulliNB,0.6956521739130435,0.7,0.9324280436812407,0.6884057971014492,0.8146997929606625,0.6956521739130435,0.014687776565551758
ExtraTreesClassifier,0.6956521739130435,0.6833333333333333,0.9311289733284617,0.719047619047619,0.8248447204968944,0.6956521739130435,0.06055498123168945
NearestCentroid,0.6086956521739131,0.6333333333333333,0.8918678836904708,0.5183574879227053,0.45383022774327125,0.6086956521739131,0.021770954132080078
RandomForestClassifier,0.6086956521739131,0.6333333333333333,0.9172334074743551,0.5263504611330698,0.4850931677018634,0.6086956521739131,0.07558751106262207
BaggingClassifier,0.5652173913043478,0.6,0.7626718116689849,0.4794871794871795,0.45721187025534854,0.5652173913043478,0.04142951965332031
KNeighborsClassifier,0.6521739130434783,0.6,0.8421020582145902,0.5367404017289601,0.47692307692307695,0.6521739130434783,0.056702375411987305
ExtraTreeClassifier,0.5652173913043478,0.5666666666666667,0.7323209985748685,0.5563711650668172,0.6758454106280193,0.5652173913043478,0.017363309860229492
LogisticRegression,0.6086956521739131,0.5666666666666667,0.8205862054966915,0.5762064022933588,0.71972049689441,0.6086956521739131,0.05629158020019531
Perceptron,0.5217391304347826,0.5366666666666666,,0.5243741765480895,0.5652173913043478,0.5217391304347826,0.014500141143798828
PassiveAggressiveClassifier,0.4782608695652174,0.5033333333333333,,0.46305144131231085,0.6180124223602484,0.4782608695652174,0.025925874710083008
LinearSVC,0.4782608695652174,0.5033333333333333,,0.46305144131231085,0.6180124223602484,0.4782608695652174,0.1365208625793457
LinearDiscriminantAnalysis,0.5217391304347826,0.45999999999999996,0.8212165110132534,0.5296442687747035,0.5391304347826087,0.5217391304347826,0.4048786163330078
RidgeClassifier,0.43478260869565216,0.4566666666666667,,0.34889781999756425,0.33596837944664026,0.43478260869565216,0.011867523193359375
RidgeClassifierCV,0.43478260869565216,0.4566666666666667,,0.34889781999756425,0.33596837944664026,0.43478260869565216,0.0353548526763916
AdaBoostClassifier,0.391304347826087,0.4133333333333333,0.7709496460674277,0.4009034443817053,0.42898550724637685,0.391304347826087,0.10257935523986816
SGDClassifier,0.43478260869565216,0.4033333333333333,,0.4426877470355731,0.45217391304347826,0.43478260869565216,0.02232980728149414
DecisionTreeClassifier,0.391304347826087,0.37,0.6288023981522434,0.3971014492753623,0.43478260869565216,0.391304347826087,0.025934696197509766
LabelPropagation,0.34782608695652173,0.3,,0.23188405797101447,0.2484472049689441,0.34782608695652173,0.021151304244995117
LabelSpreading,0.34782608695652173,0.3,,0.23188405797101447,0.2484472049689441,0.34782608695652173,0.0192568302154541
CalibratedClassifierCV,0.13043478260869565,0.24,0.737874097007224,0.07792207792207792,0.11739130434782609,0.13043478260869565,0.3807213306427002
DummyClassifier,0.08695652173913043,0.2,0.5,0.01391304347826087,0.007561436672967864,0.08695652173913043,0.019512176513671875
